X,Y,objectid,powerplant,unit,country,latitude,longitude,grosspower,netpowerin,type,reactorsup,reactormod,status,dateconstr,dateofcomm,dateofclos,operationa,owner,operators,imagesourc,link
170.316666999573,69.7000000000684,1,Akademik Lomonosov,Akademik 2,Russia,69.7,170.316667,35,32,Pressurized Water Reactor, ,KLT-40S,Operational,"Monday, April 15, 2007","Thursday, June 30, 2010", , ,Rosatom, ,https://upload.wikimedia.org/wikipedia/commons/1/10/%D0%9F%D0%BB%D0%B0%D0%B2%D1%83%D1%87%D0%B0_%D0%90%D0%95%D0%A1_%22%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D1%96%D0%BA_%D0%9B%D0%BE%D0%BC%D0%BE%D0%BD%D0%BE%D1%81%D0%BE%D0%B2%22%2C_%D0%BA%D0%B2%D1%96%D1%82%D0,https://en.wikipedia.org/wiki/Akademik_Lomonosov
141.025556000375,37.3163889997451,2,Fukushima Daini,Fukushima Daini 1,Japan,37.316389,141.025556,1110,1067,Boiling Water Reactor,"Toshiba,Hitachi",BWR-5,Operation Suspended,"Wednesday, March 16, 1976","Wednesday, April 20, 1982", , ,Tokyo Electric Power Company,Tokyo Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/a/a4/Daini_Offshore.jpg,https://en.wikipedia.org/wiki/Fukushima_Daini_Nuclear_Power_Plant
141.390278000185,41.1880559996648,3,Higashidōri,Higashidōri 3,Japan,41.188056,141.390278,0,0, , , ,Planned, , , , , , , ,https://en.wikipedia.org/wiki/Higashid%C5%8Dri_Nuclear_Power_Plant
141.390278000185,41.1880559996648,4,Higashidōri,Higashidōri 1,Japan,41.188056,141.390278,1100,1067,Boiling Water Reactor, ,BWR-5,Operation Suspended,"Wednesday, November 07, 2000","Friday, December 08, 2005", , , ,Tokyo Electric Power Company, ,https://en.wikipedia.org/wiki/Higashid%C5%8Dri_Nuclear_Power_Plant
140.512500000091,43.0361110002932,5,Tomari Nuclear Power Plant,Tomari 1,Japan,43.036111,140.5125,579,550,Pressurized Water Reactor, ,Mitsubishi (2-loop),Operation Suspended,"Friday, April 18, 1985","Friday, June 22, 1989", , , ,Hokkaido Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/d/db/Tomari_Nuclear_Power_Plant_01.jpg,https://en.wikipedia.org/wiki/Tomari_Nuclear_Power_Plant
141.025556000375,37.3163889997451,6,Fukushima Daini,Fukushima Daini 3,Japan,37.316389,141.025556,1110,1067,Boiling Water Reactor,"Toshiba,Hitachi",BWR-5,Operation Suspended,"Tuesday, March 23, 1981","Saturday, June 21, 1985", , ,Tokyo Electric Power Company,Tokyo Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/a/a4/Daini_Offshore.jpg,https://en.wikipedia.org/wiki/Fukushima_Daini_Nuclear_Power_Plant
170.316666999573,69.7000000000684,7,Akademik Lomonosov,Akademik 1,Russia,69.7,170.316667,35,32,Pressurized Water Reactor, ,KLT-40S,Operational,"Monday, April 15, 2007","Thursday, June 30, 2010", , ,Rosatom, ,https://upload.wikimedia.org/wikipedia/commons/1/10/%D0%9F%D0%BB%D0%B0%D0%B2%D1%83%D1%87%D0%B0_%D0%90%D0%95%D0%A1_%22%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D1%96%D0%BA_%D0%9B%D0%BE%D0%BC%D0%BE%D0%BD%D0%BE%D1%81%D0%BE%D0%B2%22%2C_%D0%BA%D0%B2%D1%96%D1%82%D0,https://en.wikipedia.org/wiki/Akademik_Lomonosov
141.499721999733,38.4011110000146,8,Onagawa,Onagawa 2,Japan,38.401111,141.499722,825,796,Boiling Water Reactor, ,BWR-5,Operation Suspended,"Saturday, April 12, 1991","Saturday, July 28, 1995", , , ,Tohoku Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/c/c5/Onagawa_Nuclear_Power_Plant.jpg,https://en.wikipedia.org/wiki/Onagawa_Nuclear_Power_Plant
166.538610999649,68.0502780000374,9,Bilibino Nuclear Power Plant,Bilibino 1,Russia,68.050278,166.538611,12,11,Light Water Graphite Reactor, ,EGP-6,Shut down,"Friday, January 01, 1970","Tuesday, April 01, 1974","Tuesday, January 14, 2019", , ,Rosenergoatom,https://upload.wikimedia.org/wikipedia/commons/d/d0/Bilibino_Nuclear_Power_Plant.JPG,https://en.wikipedia.org/wiki/Bilibino_Nuclear_Power_Plant
141.033055999648,37.4230560001655,10,Fukushima Daiichi,Fukushima Daiichi 3,Japan,37.423056,141.033056,784,760,Boiling Water Reactor,"General Electric, Toshiba ,Hitachi",BWR-4,Inoperable,"Tuesday, December 28, 1970","Sunday, March 27, 1976","Friday, May 19, 2011", ,Tokyo Electric Power Company,Tokyo Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/4/44/Fukushima_I_NPP_1975_medium_crop_rotated_labeled.jpg,https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant
141.033055999648,37.4230560001655,11,Fukushima Daiichi,Fukushima Daiichi 2,Japan,37.423056,141.033056,784,760,Boiling Water Reactor,"General Electric, Toshiba ,Hitachi",BWR-4,Inoperable,"Tuesday, June 09, 1969","Friday, July 18, 1974","Friday, May 19, 2011", ,Tokyo Electric Power Company,Tokyo Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/4/44/Fukushima_I_NPP_1975_medium_crop_rotated_labeled.jpg,https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant
141.033055999648,37.4230560001655,12,Fukushima Daiichi,Fukushima Daiichi 5,Japan,37.423056,141.033056,784,760,Boiling Water Reactor,"General Electric, Toshiba ,Hitachi",BWR-4,Shut down,"Tuesday, May 22, 1972","Wednesday, April 18, 1978","Wednesday, December 17, 2013", ,Tokyo Electric Power Company,Tokyo Electric Power Company,https://upload.wikimedia.org/wikipedia/commons/4/44/Fukushima_I_NPP_1975_medium_crop_rotated_labeled.jpg,https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant
